timestamp,open,high,low,close,volume
2022-03-15,4.2000,4.4650,4.1800,4.3200,10153698
2022-03-14,4.5300,4.5600,4.2700,4.3300,7280544
2022-03-11,4.6700,4.7400,4.5150,4.6300,6359508
2022-03-10,4.7500,4.9500,4.7150,4.8200,7978336
2022-03-09,4.6400,4.8400,4.5700,4.7500,11314770
2022-03-08,4.8500,5.2500,4.7500,4.9100,16928244
2022-03-07,4.6900,4.8300,4.5400,4.7100,8449919
2022-03-04,4.6300,4.6800,4.5500,4.6400,8374545
2022-03-03,4.4000,4.6350,4.3250,4.6200,10398605
2022-03-02,4.4700,4.5100,4.3200,4.3600,8145549
2022-03-01,4.3300,4.6800,4.2900,4.5800,15231103
2022-02-28,4.4300,4.4400,4.2500,4.3000,6624748
2022-02-25,4.2000,4.3700,4.1200,4.3500,6981023
2022-02-24,4.5200,4.5200,4.1800,4.2800,10168417
2022-02-23,4.2400,4.4500,4.1900,4.3500,8717594
2022-02-22,4.2700,4.3100,4.1800,4.2100,12013127
2022-02-18,4.5200,4.5300,4.2100,4.2800,13615880
2022-02-17,5.0500,5.0900,4.3900,4.5200,18321434
2022-02-16,5.3000,5.3600,5.2100,5.3400,3318349
2022-02-15,5.1300,5.3100,5.0300,5.2500,4412231
2022-02-14,5.1400,5.3300,5.1350,5.3000,5432556
2022-02-11,4.7700,5.1100,4.7700,5.0600,6400976
2022-02-10,4.8000,5.0600,4.7500,4.8000,7199815
2022-02-09,4.9000,4.9900,4.8250,4.8400,2173373
2022-02-08,4.8000,4.9000,4.7200,4.9000,2803714
2022-02-07,4.6100,4.8800,4.6100,4.8100,4009662
2022-02-04,4.4500,4.5900,4.4500,4.5500,3024673
2022-02-03,4.6200,4.6500,4.4800,4.5000,3358311
2022-02-02,4.8500,4.9400,4.6700,4.6800,4806712
2022-02-01,4.7900,4.9850,4.7300,4.8700,4551961
2022-01-31,4.5500,4.7300,4.4400,4.6900,5645109
2022-01-28,4.4500,4.5000,4.3050,4.4700,3544391
2022-01-27,4.6500,4.7500,4.4800,4.5100,4208048
2022-01-26,5.0300,5.0850,4.7200,4.7600,4748738
2022-01-25,4.9100,5.0759,4.7700,5.0300,4010765
2022-01-24,5.0250,5.0250,4.7300,4.9700,5138086
2022-01-21,5.3100,5.3350,5.0500,5.0800,4696449
2022-01-20,5.4600,5.5400,5.2900,5.3000,4819614
2022-01-19,5.0900,5.4999,5.0700,5.4400,7150109
2022-01-18,5.1200,5.3300,5.0000,5.0100,7177507
2022-01-14,5.1700,5.2200,5.0100,5.0900,3568453
2022-01-13,5.2200,5.3700,5.1800,5.1900,3514097
2022-01-12,5.2100,5.3200,5.0900,5.2700,4203522
2022-01-11,4.9600,5.1600,4.8300,5.1600,4080195
2022-01-10,4.8400,4.9400,4.7300,4.9400,3618743
2022-01-07,4.8200,4.9400,4.7350,4.8500,3670119
2022-01-06,5.0000,5.1100,4.8200,4.8200,3728403
